"转让人","受让人","IPC分类号"
"深圳市中兴通讯股份有限公司上海第二研究所; 中兴通讯股份有限公司","深圳市中兴通讯股份有限公司; 国网北京市电力公司; 北京华商电力科技中心中国技术交易所有限公司","H04L12/24; H04Q3/00"
"成都银晨网讯科技有限公司","上海银晨智能识别科技有限公司","G06F9/44; G06K9/00"
"深圳市中兴通讯股份有限公司上海第二研究所; 中兴通讯股份有限公司","深圳市中兴通讯股份有限公司; 国网北京市电力公司; 北京博瑞翔伦科技发展有限公司中国技术交易所有限公司","G06F12/08; G06F9/50; G06F12/0802"
"劲永国际股份有限公司; 劲永科技(苏州)有限公司","劲永科技(苏州)有限公司; 北京华旗资讯数码科技有限公司; 劲永科技(苏州)有限公司","G06F3/00; H01R12/08; H01R13/645"
"崔巍; 上海集通数码科技有限责任公司","上海集通数码科技有限责任公司; 上海高通半导体有限公司","G06K19/07"
"斯伦贝谢神码(北京)信息技术有限公司","斯伦贝谢(北京)智能卡科技有限公司","G06F17/00; G06F17/30; H04W8/20; H04W8/26; H04W24/00"
"谢涛","谢道裕","H04L9/32; H04L9/00"
"曹义东王正伟; 山东三舜经贸有限公司","山东三舜经贸有限公司; 山东华起防伪科技有限公司","G06F17/30; G06K9/00; G09F3/02"
"林宗杨林宗兴","林宗兴林宗藩","G06F3/023; G06F3/00; G06F3/01"
"武汉理工大学","武汉理工大学上海宝信软件股份有限公司","H04L12/40; H04L12/66"
"阿托费纳化学股份有限公司","阿拖费纳公司","C08L33/08; B29C70/68; B29D7/01; B32B7/02; B32B27/20; B32B27/30; C08L33/10; G02B1/11; B32B7/023"
"上海交通大学","上海交通大学上海一一六研究所","G06F9/445; G06F15/173; G06F17/30; G06F17/00; G06F15/16"
"威盛电子股份有限公司; 威瀚科技股份有限公司","威瀚科技股份有限公司; 威盛电子股份有限公司","G06F12/00; G06F13/24; G06F13/20"
"美坦尼蒂克司有限公司","符号技术公司","G06K17/00; G07G1/12; B65C9/46; G06K1/12; G06K7/00; G06K7/10"
"药品研究中心","达柔帕克什制药公司","A61K35/78"
"深圳市恒基伟业信息技术有限公司","北京恒基伟业电子产品有限公司","G06K19/07; G06F17/60"
"凯兹株式会社; 日本电气株式会社","凯兹株式会社; 恩益禧电子股份有限公司","G06F17/00; G06F9/445; G06F11/28; G06F9/44; G06F9/455"
"尤尼斯菲亚网络公司","西门子网络责任有限公司","H04L12/66; H04L12/28; H04L12/56; H04J3/16; H04J3/22; H04Q11/04"
"李冠林; 杰克·亚伯登","金流软件(上海)有限公司","G06F17/60; G06F9/44; G06Q40/00; G06F21/20; G06Q20/40; G06Q30/00; G06Q30/06"
"皇家菲利浦电子有限公司","斯坎索夫特公司","G10L15/26; G06F3/16; G10L15/32"
"张弘岳向前张栋华","张栋华","G06F17/60; G06F13/00"
"马科尼通讯有限公司","马科尼英国知识产权有限公司","H04L12/54; H04J3/00; H04J3/16; H04Q11/04"
"旭丽股份有限公司; 光宝科技股份有限公司","光宝科技股份有限公司; 宇冠科技有限公司","G06K9/03"
"透明度科技(国际)有限公司","新加坡透明度控股有限公司","G06F17/60"
"国际竞争力股份有限公司; 宇辰光电股份有限公司; 突破光电科技股份有限公司","突破光电科技股份有限公司; 宇辰光电股份有限公司; 纬创资通股份有限公司","G06F3/00; C09D5/24; H05K3/12"
"汤姆森金融公司","欧米格有限责任公司","G06F17/60; G06Q10/00; G06Q40/06"
"罗尔斯顿·普林纳公司; 雀巢普林纳宠物护理公司","内斯特克有限公司","G06F17/60; G06Q30/00"
"费雷罗神奇制造集团(费雷罗MPG)公司","神奇制造集团(M.P.G)公司","G06F17/60; G07F7/10; G06F21/00; G06Q30/00"
"日商岩井株式会社","LNG日本株式会社","G06F17/60; G06Q50/00; G06Q10/00; G06Q10/06; G06Q10/10; G06Q30/06; G06Q50/30"
"彼得里亚艾隆公司","艾洛科姆公司","H04L12/28; H04L12/56"
"陈涛; 高小英卢小明","北京大恒鼎芯科技有限公司","G06F15/00; G06F3/14; G06F17/20; G06F40/00"
"爱达数码科技(杭州)有限公司","江苏爱达数码科技有限公司","G06F17/00; G06F17/28"
"锐安工程有限公司","万方有限公司","G06K19/077; G06K19/07"
"郝杰白念恩","北京阜国数字技术有限公司白念恩","G06F17/00; G06F9/44"
"刘昀徐翔","北京阜国数字技术有限公司","G06F15/00; G09B17/00"
"李毅; 陈笑天","北京阜国数学技术有限公司","G06F12/00"
"源兴科技股份有限公司","光宝科技股份有限公司","G06F1/16; H04N5/225"
"启腾企业有限公司","佶鸿电子股份有限公司","G06F1/16"
"元钿科技股份有限公司","廖修楣","G06F1/16"
"台湾光宝电子股份有限公司","光宝科技股份有限公司","G06F1/16"
"深圳市TCL电脑科技有限责任公司","惠州市TCL电脑科技有限责任公司","G06F1/26"
"赵建和","北京鑫中保保安器材有限公司","G06F17/00"
"神达电脑股份有限公司","神基科技股份有限公司","G06F1/00; G06F1/16"
"郑国书","胡长安","G06F3/023"
"宗敏; 唐济海","唐济海; 东莞莫仕连接器有限公司","G06F1/20"
"唐济海; 宗敏","唐济海; 东莞莫仕连接器有限公司","G06F1/20"
"敦颐科技有限公司","许宏彬","G06F1/16; G11B5/82"
"林志聪; 卢至宜","常熟精元电脑有限公司; 林志聪","G06F3/023; G06F15/02"
"韩路奇; 鄞县银光电子电器有限公司","韩明启; 宁波市鄞州银光电子电器有限公司","G06F1/26"
"旭丽股份有限公司; 光宝科技股份有限公司","光宝科技股份有限公司; 双忆阻器有限责任公司","G06F1/16"
"深圳市兆日实业有限公司","深圳市兆日信息技术有限公司","G06F3/023"
"深圳市兆日实业有限公司; 北京兆日科技有限责任公司; 兆日科技(深圳)有限公司","深圳市兆日信息技术有限公司; 兆日科技(深圳)有限公司; 北京兆日科技有限责任公司","G06F12/14; G06F12/16"
"奥伏拉森生产公司","特里迪有限公司","G06K15/14; G03G15/32; G09F9/00; B41J2/385; B41F3/18; B41J2/415; G03G15/05; G03G15/34"
"摩托罗拉公司","自由度半导体公司","G06F7/00; G05B13/02; G06F9/44; G06N7/02; G06N7/04"
"笔顺码国际有限公司; 王颂平","王颂平; 笔顺码国际有限公司","G06F3/023"
"MGI软件公司","罗克西欧有限公司","G06T1/00; H04N5/262; G06F3/048; G06F3/14; G06T3/00; G06T3/40; G06T11/60; G09G5/00"
"世嘉股份有限公司","世嘉股份有限公司世雅玩具股份有限公司","G06K17/00; G06F1/16; G06K7/015; G06K70/15; A63H33/38; G06K7/00; H01R13/629"
"现代电子产业株式会社; 株式会社现代信息通","株式会社现代信息通; UT斯达康韩国有限公司","H04L7/027; G04G7/02; G04G5/00; G01S19/14; G04R20/00; G04R20/04; G04R40/04; H03L7/06; H04J3/06; H04L7/00; H04L7/04"
"现代电子产业株式会社; 株式会社现代信息通; UT斯达康韩国有限公司","株式会社现代信息通; UT斯达康韩国有限公司; 宇蓝有限公司","G06F13/24; G06F9/46; G06F13/26"
"国际商业机器公司","日立环球储存科技荷兰有限公司","H04L25/03; H04L25/497"
"株式会社现代信息通","UT斯达康韩国有限公司","H04L5/00; H04B7/15; H04W88/18"
"现代电子产业株式会社; 韩国京畿道","株式会社现代信息通; 韩国京畿道利川市夫钵邑牙美里山136-1","G06F13/12; G06F15/163; G06F12/00; G06F13/10; G06F13/36; G06F13/38; G06F13/42"
"摩托罗拉公司; 自由度半导体公司","自由度半导体公司; 三星电子株式会社","G06F9/00; G02F1/133; G06F3/147; G06F12/00; G06F13/28; G09G3/36; G09G5/397; G09G5/399"
"株式会社现代信息通; 现代电子产业株式会社","UT斯达康韩国有限公司; 株式会社现代信息通","H04L29/06; H04J3/06; H04J3/16"
"明碁电通股份有限公司","明基电通股份有限公司","G06F19/00"
"艾利森电话股份有限公司","因芬尼昂技术股份公司","G06F17/50; H01L21/82"
"飞思卡尔以色列有限公司","飞思卡尔半导体公司","G06F13/42; G06F12/00; G06F12/02"
"刘长安","段泽明","G06K9/00"
"卡鲁斯·马格努斯有限公司","霍丁B·E·V·股份有限公司","G06T7/20; G06K9/00"
"北京大学","上海北大蓝光科技有限公司","H01L21/02; C30B11/00"
"杨泰和","杉基股份有限公司","G06F3/033; G06F3/0354"
"数字纸有限责任公司","E嘉资金公司","G06F15/00; G06F12/08; G06F12/00; G06F13/00; G06F17/30; H04N1/00"
"保安-7(软件)有限公司","电脑相关想象公司","H04L29/06; G06F21/22; G06F9/46; G06F21/00; G06F21/12"
"发展通讯有限公司","TV指南针有限公司","G06F3/147; H04N7/173; H04N71/73; G06F3/048; G09F19/00; G09F23/02; G09F27/00; G09G5/00; H04L29/08; H04N5/445; H04N7/16; H04Q9/00; G06F3/0482"
"斯奎尔埃尼克斯有限公司","比纹福股份有限公司","G06K9/00; G06T7/00; G06K7/00; G07C9/00; G07F7/10"
"瑞典阿克赛斯安全公司","科梅克斯电子公司","G06F17/00; G06K19/00; G06K19/10; G06Q20/00; G07F7/08; G07F7/10; G09C1/00"
"艾利森电话股份有限公司","MYSQL股份公司","G06F17/30; G06F12/00"
"CSP集团有限公司","数据宝库公司","G06F19/00; G06Q10/06; B25C5/02; G06K9/00; G06K9/62; G06K17/00; G06Q20/00; G06Q30/00; H04L9/32"
"英国国防部","秦内蒂克有限公司","G06K9/74; G01B11/00; G02B13/00; G02B26/08; G02B26/10; G02B27/00; G02B27/46; G02F3/00; G06T1/00; G06T7/00; H04N5/225; G06V10/88"
"奥托·穆勒","海珀斯通股份公司","G06F12/02; G06F12/16; G06F12/00"
"神基科技股份有限公司; 科立尔数位科技股份有限公司","英特维数位科技股份有限公司; 神基科技股份有限公司","G06F1/32"
"英业达集团(南京)电子技术有限公司","英华达(南京)科技有限公司","G06F17/00"
"株式会社吉姆帝王; 精工爱普生株式会社","精工爱普生株式会社","G06T3/00; B41J5/00; B41J21/00; B41J3/407; B41J11/00; B41J11/42; G06F17/21; G06T11/60"
"北京华纬迅科技有限公司; 南京格高网络科技有限公司","王生安; 北京华盛普讯技术股份有限公司","H04L12/66; H04L29/02"
"海力士半导体美国公司; 海力士半导体有限公司","海力士半导体有限公司; 美格纳半导体有限公司","H04L12/28; H04L12/66; G06F15/163; H04L12/44; H04L12/46; H04L12/56; H04L29/06"
"王本中; 张群","长春卓尔信息安全产业集团股份有限公司","G06F12/14"
"莫吉德股份公司; 克里霍里克股份公司; 电子创新科技股份公司","电子创新科技股份公司; 莫吉德股份公司; 瑞士电信流动电话公司","G06F17/30; G06F12/00; G06F13/00; H04W4/02; H04W8/08; H04W64/00; H04W4/029"
"银晨网讯科技有限公司","上海银晨智能识别科技有限公司","G06K9/46; G07C1/00"
"索尼株式会社; 美国索尼公司; 爱华株式会社; 交互数字控股公司","美国索尼公司; 交互数字控股公司; 索尼株式会社; DRNC控股公司","G06F3/00; G06F1/16"
"徐玉锁","深圳市远望谷信息技术股份有限公司","G06K19/07"
"乔治娜·路易斯·桑斯特; 伊利斯游戏技术有限公司; 海豚先进技术有限公司","温丁达塔公司; 夏弗玛斯特公司; 乔治娜·路易斯·桑斯特","G06F7/00; G06K11/00; A63F1/06; B07C1/04; A63F1/14"
"戴尔洛吉克公司","英特尔公司","H04L12/66; H04L12/64; H04M1/247; H04M1/253; H04M3/42; H04M3/50; H04M3/51; H04M7/00; H04M7/12; G06F3/048; G06F3/0483"
"陈怡铭; 卡门国际投资有限公司","卡门国际投资有限公司; 长春藤控股有限公司","G06K7/00"
"西尔弗布鲁克研究股份有限公司; 卡·西尔弗布鲁克","西尔弗布鲁克研究股份有限公司","G06Q90/00; G06K9/18; G06F3/038; B41F31/08; B41J2/165; B41J2/175; B41J2/21; B41J5/30; B41J13/10; B41J21/00; B41J21/16; B41J29/00; B41J29/02; B41J29/13; B41J29/38; B41J29/40; B41L27/10; B42C9/00; B42C19/02; B42D15/10; B65H29/34; B65H37/02; B65H37/04; G06F3/00; G06F3/023; G06F3/03; G06F3/033; G06F3/0354; G06F3/041; G06F3/042; G06F3/048; G06F3/0481; G06F3/0484; G06F3/0488; G06F3/06; G06F3/12; G06F3/14; G06F7/04; G06F13/00; G06F15/00; G06F17/00; G06F17/21; G06F17/30; G06F21/20; G06K7/10; G06K9/00; G06K9/22; G06K9/62; G06K11/06; G06K17/00; G06K19/06; G06K19/08; G06Q20/38; G06Q20/40; G06Q30/02; G06T1/00; G06T11/60; G07C11/00; G08C17/00; G08C21/00; H04B1/034; H04L9/00; H04L9/32; H04L12/24; H04N1/00; H04N1/32; H04N1/327; H04N1/387"
"卡·西尔弗布鲁克; 西尔弗布鲁克研究股份有限公司","西尔弗布鲁克研究股份有限公司","G06K9/18; G06F3/12; G06F3/038; B41F31/08; B41J2/165; B41J2/175; B41J2/21; B41J5/30; B41J13/10; B41J21/00; B41J21/16; B41J29/00; B41J29/02; B41J29/13; B41J29/38; B41J29/40; B41L27/10; B42C9/00; B42C19/02; B42D15/10; B65H29/34; B65H37/02; B65H37/04; G06F3/00; G06F3/023; G06F3/03; G06F3/033; G06F3/0354; G06F3/041; G06F3/042; G06F3/048; G06F3/0481; G06F3/0484; G06F3/0488; G06F3/06; G06F3/14; G06F7/04; G06F13/00; G06F15/00; G06F17/00; G06F17/21; G06F17/30; G06F21/20; G06K7/10; G06K9/00; G06K9/22; G06K9/62; G06K11/06; G06K17/00; G06K19/06; G06K19/08; G06Q20/38; G06Q20/40; G06Q30/02; G06T1/00; G06T11/60; G07C11/00; G08C17/00; G08C21/00; H04B1/034; H04L9/00; H04L9/32; H04L12/24; H04N1/00; H04N1/32; H04N1/327; H04N1/387"
"PTS股份有限公司; 帕尔森特股份有限公司","奥特拉股份有限公司; PTS股份有限公司","G06T5/00; G06T7/60"
"摩托罗拉公司; 天顶投资有限责任公司; 飞思卡尔半导体公司","自由度半导体公司; 苹果公司; 天顶投资有限责任公司","G06F13/364; G06F1/32; G06F1/04; G06F13/36"
"LG电子株式会社","苹果电脑公司","G06F1/00; F16M11/10; G06F1/16"
"天津市朗亿科技有限公司","天津大学管理学院; 天津市朗亿科技有限公司","G06K9/00; G06K7/06; G06F13/14"
"基姆·利珀; 伯明翰系统有限公司","伯明翰系统有限公司; 赛根计算机有限公司","G06F1/00; H04L12/58; H04L29/06; G06F21/32; G06F21/62"
"罗威解决方案公司; 米德芭科技有限公司","罗威欧洲有限公司; 宏视欧洲有限公司","H04L9/00; H04N5/91; G06F12/14; G06F21/24; G11B20/00; G11B20/10; G11B20/12; G06F21/10"
"大正制药株式会社","大正制药株式会社; 本田技研工业株式会社","G06F15/177; G06F17/11; G06F17/12; G06F9/46; G06F9/48; G06F9/50"
"马正焜","宏光国际企业股份有限公司","G06F12/02"
"Q.P.Q.有限公司","智能证件有限公司","G06Q30/00; G07F19/00; G06Q20/00; G07F7/08"
"以色列佩塔提克瓦; 伊克特尔有限公司; 索弗特科姆计算机有限公司伊克特尔有限公司","以色列佩塔提克瓦; 弗林特系统有限公司; 伊克特尔有限公司","H04L29/06; H04L12/26; H04L12/24; H04L12/28; H04L29/08"
"岡本明義","日本波技术集团有限公司","G06F17/60; G06F21/10; G06Q30/00"
"北京四方同创保护与控制设备有限公司; 北京四方继保自动化股份有限公司","北京四方继保自动化股份有限公司; 北京四方继保工程技术有限公司","G06F13/00"
"北京四方同创保护与控制设备有限公司","北京四方继保自动化股份有限公司","G06F11/22; G06F13/00"
"泰拉丁公司","良瑞科技股份有限公司","G06T7/00; G01B11/00; G01B11/26; G01N21/956; G06T1/00; G06T5/00; G06T7/60"
"摩托罗拉公司","飞思卡尔半导体公司","H04L25/06; H04L27/00; H03M3/00; H03M3/02; H04B1/26"
"富士通株式会社; AMD投资有限公司; 先进微装置公司; AMD(美国)股份有限公司; 斯班逊有限公司","富士通株式会社; 飞索股份有限公司; AMD(美国)股份有限公司; AMD投资有限公司; 赛普拉斯半导体公司","G06F11/20; G11C16/06; G11C15/00; G11C15/04; G11C16/26; G11C29/04"
"前锦网络信息技术(上海)有限公司","前程无忧网络信息技术(北京)有限公司","G06F15/173; G06F17/30; G06F15/16"
"维斯特恩洛科有限责任公司","维斯特恩格科地震控股有限公司","G01V1/38"
"K服务有限公司; J&布罗斯多姆电信公司; SDR股份有限公司","SDR股份有限公司; K服务有限公司; J&凯昂系统公司","H04L5/02; H04Q7/38; H04J11/00; H04B7/26; H04L1/00; H04W28/04; H04W48/16; H04W72/02; H04W72/04; H04W72/08"
"浙江浙大中控技术有限公司; 浙江中控技术股份有限公司","浙江中控技术有限公司; 浙江中控技术股份有限公司; 浙江大学","H04L12/28; H04L12/10; H04B1/24; H04B1/22"
"深圳市中兴通讯股份有限公司上海第二研究所","中兴通讯股份有限公司","H04L12/28; H04L29/06"
"深圳市中兴通讯股份有限公司上海第二研究所; 深圳市中兴通讯股份有限公司","深圳市中兴通讯股份有限公司; 中兴通讯股份有限公司","H04L12/24; H04Q3/54"
"莱特司给网络股份有限公司","ECI电信公司","H04L12/28; H04L12/24; H04L12/427; G06F11/14; G06F11/20"
"余鲲","李桂馨","H04L12/28; H04M11/00"
"布罗德施托姆电信公司; J&K服务有限责任公司; SDR财产有限责任公司","J&K服务有限责任公司; SDR财产有限责任公司; 考恩系统公司","H04L27/26; H04Q7/36; H04Q7/38; H04J11/00; H04L1/00; H04L5/02; H04W24/00; H04W28/04; H04W72/02; H04W72/04; H04W72/08; H04W84/02"
"摩托罗拉公司; 飞思卡尔半导体公司","飞思卡尔半导体公司; 亮控股责任有限公司","G06F9/32; G06F9/455; G06F9/318; G06F9/38; G06F9/45; G06F9/44"
"雷卡托系统公司","EMC公司","G06F17/30; G06F12/00; G06F11/00; G06F11/14; G06F11/20; H04L1/22"
"浙江浙大中控技术有限公司; 浙江中控技术股份有限公司","浙江中控技术股份有限公司; 浙江大学","H04L12/10; H04B1/24; H04B1/74"
